id	students	womens	foreigners	languages
694	34	0.382352941	0.147058824	0.088235294
696	20	0.45	0	0.15
697	364	0.491758242	0.181318681	0.14010989
699	17	0.352941176	0	0.117647059
700	943	0.518557794	0.327677625	0.191940615
701	28	0.5	0.107142857	0.071428571
702	17	0.294117647	0	0
703	277	0.472924188	0.144404332	0.194945848
706	133	0.45112782	0.030075188	0.195488722
708	8	0.25	0.125	0
709	6	0.5	0	0
711	16	0.625	0	0.1875
712	12	0.5	0	0.333333333
713	437	0.496567506	0.073226545	0.178489703
721	94	0.489361702	0.021276596	0.042553191
722	43	0.488372093	0.11627907	0.139534884
723	490	0.489795918	0.165306122	0.175510204
724	66	0.454545455	0.045454545	0.166666667
725	35	0.342857143	0.085714286	0.057142857
731	115	0.443478261	0.130434783	0.365217391
732	152	0.421052632	0.046052632	0.085526316
733	404	0.522277228	0.297029703	0.433168317
735	22	0.409090909	0	0.045454545
737	48	0.416666667	0.020833333	0.0625
738	51	0.529411765	0	0.058823529
739	317	0.384858044	0.126182965	0.164037855
742	76	0.526315789	0.078947368	0.078947368
743	796	0.487437186	0.242462312	0.471105528
744	374	0.548128342	0.144385027	0.195187166
745	195	0.507692308	0.092307692	0.302564103
746	156	0.538461538	0.032051282	0.147435897
747	37	0.540540541	0.027027027	0.027027027
748	74	0.486486486	0.013513514	0.027027027
749	388	0.5	0.172680412	0.298969072
750	102	0.509803922	0.019607843	0.049019608
751	387	0.519379845	0.03875969	0.036175711
754	119	0.445378151	0.008403361	0
755	177	0.576271186	0.079096045	0.118644068
756	125	0.568	0.08	0.12
761	92	0.402173913	0.076086957	0.02173913
762	256	0.41015625	0.03125	0.02734375
763	211	0.516587678	0.033175355	0.023696682
764	29	0.689655172	0.068965517	0.034482759
766	64	0.375	0	0
767	94	0.489361702	0.031914894	0.042553191
768	1237	0.47938561	0.097008892	0.153597413
769	289	0.480968858	0.08650519	0.069204152
781	9	0.444444444	0	0
782	25	0.56	0.16	0.08
783	163	0.417177914	0.128834356	0.09202454
784	84	0.5	0.05952381	0.035714286
785	563	0.534635879	0.134991119	0.163410302
786	41	0.512195122	0.048780488	0.170731707
791	125	0.424	0.008	0.008
792	219	0.538812785	0.132420091	0.132420091
793	90	0.466666667	0.133333333	0.111111111
794	314	0.484076433	0.063694268	0.066878981
841	67	0.552238806	0.134328358	0.119402985
842	66	0.575757576	0.03030303	0.015151515
843	703	0.475106686	0.250355619	0.301564723
852	119	0.521008403	0.025210084	0.008403361
853	124	0.548387097	0.024193548	0.024193548
855	807	0.503097893	0.034696406	0.058240397
861	1161	0.483204134	0.139534884	0.111111111
863	90	0.522222222	0.022222222	0.022222222
866	124	0.572580645	0.040322581	0
867	86	0.453488372	0	0
869	109	0.52293578	0.036697248	0.036697248
870	478	0.474895397	0.234309623	0.351464435
872	69	0.463768116	0.028985507	0.028985507
873	40	0.575	0	0.05
875	13	0.615384615	0	0
876	144	0.472222222	0.027777778	0.055555556
877	51	0.450980392	0.039215686	0.019607843
878	25	0.64	0	0
879	353	0.507082153	0.028328612	0.045325779
880	166	0.524096386	0.018072289	0.036144578
881	12	0.583333333	0	0
883	199	0.497487437	0.085427136	0.120603015
884	217	0.437788018	0.101382488	0.078341014
885	204	0.470588235	0.044117647	0.068627451
886	465	0.507526882	0.025806452	0.038709677
888	83	0.518072289	0.072289157	0.072289157
901	247	0.48582996	0.008097166	0.008097166
902	1121	0.476360393	0.074041035	0.130240856
903	335	0.510447761	0.011940299	0.050746269
904	123	0.447154472	0	0
905	230	0.465217391	0.008695652	0.008695652
906	114	0.535087719	0.026315789	0.035087719
907	393	0.498727735	0.038167939	0.073791349
908	142	0.485915493	0.014084507	0.056338028
909	156	0.461538462	0.192307692	0.294871795
921	95	0.473684211	0.010526316	0.031578947
922	119	0.462184874	0.025210084	0.025210084
923	155	0.516129032	0.04516129	0.025806452
924	48	0.666666667	0	0
925	65	0.4	0	0
927	56	0.464285714	0.017857143	0.053571429
928	611	0.48608838	0.124386252	0.204582651
929	413	0.510895884	0.072639225	0.089588378
931	152	0.473684211	0	0.013157895
934	243	0.423868313	0.082304527	0.111111111
935	51	0.450980392	0.019607843	0.019607843
936	24	0.416666667	0.083333333	0.083333333
938	360	0.469444444	0.086111111	0.069444444
939	1603	0.495945103	0.134123518	0.173424828
941	362	0.472375691	0.019337017	0.033149171
942	3923	0.507264848	0.151414734	0.257965842
943	79	0.341772152	0	0
944	649	0.485362096	0.069337442	0.097072419
945	194	0.510309278	0	0.005154639
946	17	0.470588235	0.117647059	0.117647059
947	17	0.470588235	0	0
948	65	0.476923077	0.030769231	0.046153846
951	92	0.445652174	0.054347826	0.043478261
952	122	0.516393443	0.008196721	0
953	147	0.517006803	0.06122449	0.068027211
954	638	0.548589342	0.117554859	0.153605016
955	444	0.484234234	0.051801802	0.060810811
956	459	0.472766885	0.039215686	0.065359477
957	588	0.493197279	0.05952381	0.132653061
958	95	0.431578947	0.063157895	0.021052632
959	69	0.362318841	0.028985507	0
960	108	0.351851852	0.009259259	0.018518519
971	97	0.515463918	0.072164948	0.103092784
973	43	0.465116279	0	0
975	18	0.555555556	0.055555556	0
976	39	0.435897436	0	0
977	75	0.373333333	0.013333333	0.013333333
979	725	0.507586207	0.157241379	0.191724138
980	50	0.48	0.04	0.04
981	451	0.474501109	0.248337029	0.33037694
982	220	0.509090909	0.118181818	0.15
983	125	0.472	0.112	0.152
985	57	0.350877193	0	0.052631579
987	23	0.47826087	0	0
988	95	0.452631579	0.010526316	0.010526316
989	82	0.475609756	0.06097561	0.048780488
992	270	0.518518519	0.125925926	0.148148148
993	41	0.512195122	0.073170732	0.073170732
995	313	0.479233227	0.150159744	0.169329073
996	11	0.636363636	0	0
